Ord_ID;Prod_ID
1;54
1;56
1;4
1;53
1;36
1;29
2;54
2;28
2;4
2;42
2;53
2;53
2;53
2;53
2;53
2;28
2;8
2;8
2;1
2;46
2;43
2;5
2;23
2;1
2;14
3;9
3;26
3;27
3;42
3;7
3;13
3;49
3;19
3;5
4;20
4;44
4;7
4;4
4;59
4;59
4;17
4;28
4;20
4;15
4;40
4;21
4;12
4;51
4;57
4;14
4;32
4;43
5;42
5;27
5;26
5;17
5;59
5;15
5;9
5;15
5;25
5;19
5;5
5;18
5;14
5;47
5;35
5;58
5;36
6;59
6;28
6;4
6;4
6;56
6;7
6;26
6;18
6;48
6;14
6;33
6;43
6;45
7;7
7;4
7;53
7;46
7;18
8;59
8;53
8;4
8;27
8;20
8;17
8;42
8;56
8;46
8;32
8;45
8;2
8;21
8;32
8;1
8;22
9;27
9;25
9;42
9;9
9;54
9;15
9;42
9;15
9;43
9;49
9;31
9;46
9;48
10;9
10;59
10;15
10;59
10;44
10;42
10;17
10;20
10;27
10;34
10;31
10;3
10;37
10;12
10;55
11;28
11;7
11;27
11;44
11;53
11;46
11;34
11;6
11;8
11;57
12;27
12;4
12;20
12;15
12;57
12;36
13;9
13;4
13;15
13;59
13;59
13;55
13;37
13;52
13;58
13;40
13;10
14;17
14;44
14;25
14;42
14;38
14;14
14;6
14;33
14;1
15;25
15;42
15;2
15;24
15;5
15;33
16;44
16;17
16;17
16;28
16;53
16;15
16;26
16;25
16;59
16;45
16;1
16;23
16;34
16;46
16;51
16;37
16;46
16;12
17;44
17;25
17;56
17;9
17;13
17;2
17;37
18;9
18;42
18;28
18;28
18;47
18;43
18;50
18;3
19;27
19;42
19;56
19;54
19;27
19;8
19;48
19;22
19;24
19;21
20;53
20;20
20;15
20;28
20;20
20;59
20;38
20;14
20;11
20;58
21;28
21;27
21;28
21;53
21;59
21;44
21;10
21;57
21;30
21;45
21;29
21;13
21;38
21;47
21;40
22;26
22;56
22;28
22;17
22;53
22;26
22;28
22;54
22;15
22;41
22;35
22;40
22;12
22;52
22;57
23;17
23;7
23;53
23;9
23;59
23;9
23;51
23;18
23;13
23;38
23;34
24;9
24;4
24;4
24;41
24;47
24;48
24;24
25;28
25;7
25;26
25;44
25;26
25;4
25;9
25;28
25;12
25;11
25;23
25;18
25;5
25;23
25;43
25;23
25;40
25;18
26;26
26;28
26;59
26;54
26;59
26;27
26;5
26;1
26;30
26;36
26;33
26;49
27;28
27;59
27;15
27;42
27;26
27;41
27;23
27;8
27;41
27;57
27;13
28;56
28;63
28;7
28;42
28;49
28;12
28;16
28;21
29;27
29;53
29;56
29;9
29;28
29;53
29;19
29;18
29;19
29;6
29;8
29;46
29;31
30;54
30;59
30;9
30;59
30;59
30;17
30;17
30;53
30;37
30;41
30;16
30;58
30;36
30;39
30;18
30;41
30;41
31;27
31;20
31;54
31;44
31;12
31;51
31;18
31;41
32;27
32;54
32;4
32;44
32;44
32;8
32;50
32;12
33;17
33;27
33;15
33;20
33;4
33;42
33;42
33;26
33;1
33;52
33;31
33;50
33;29
33;6
33;1
33;5
33;10
34;20
34;59
34;28
34;26
34;53
34;44
34;17
34;27
34;26
34;13
